PROCEDIMENTO,"RN (alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
"CISTOLITOTRIPSIA TRANSURETRAL (U.S., E.H., E.C.)",nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOPLASTIA REDUTORA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTORRAFIA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOSTOMIA CIRÚRGICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOSTOMIA COM PROCEDIMENTO ENDOSCÓPICO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOSTOMIA POR PUNÇÃO COM TROCATER,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLO DE DIVERTÍCULO - RESSECÇÃO ENDOSCÓPICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLO VESICAL - RESSECÇÃO ENDOSCÓPICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO - EXTRAÇÃO CIRÚRGICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO - EXTRAÇÃO ENDOSCÓPICA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DIVERTICULECTOMIA VESICAL,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENTEROCISTOPLASTIA (AMPLIAÇÃO VESICAL),nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXTROFIA VESICAL - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA VESICAL - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"INCONTINÊNCIA URINÁRIA - ""SLING"" VAGINAL OU ABDOMINAL, SINTÉTICO OU AUTÓLOGO",nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - SUSPENSÃO ENDOSCÓPICA DE COLO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO SUPRA-PÚBICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA COM COLPOPLASTIA ANTERIOR - TRATAMENTO CIRÚRGICO (COM OU SEM USO DE PRÓTESE),nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - TRATAMENTO ENDOSCÓPICO (INJEÇÃO),nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"NEOBEXIGA CONTINENTE (CUTÂNEA, RETAL OU URETRAL)",nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PÓLIPOS VESICAIS - RESSECÇÃO CIRÚRGICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PÓLIPOS VESICAIS - RESSECÇÃO ENDOSCÓPICA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO E ASPIRAÇÃO VESICAL,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE URETERO-VESICAL À BOARI,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETENÇÃO POR COÁGULO - ASPIRAÇÃO VESICAL,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA ENDOSCÓPICA DE DUPLO J,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR VESICAL - FOTOCOAGULAÇÃO A LASER,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR VESICAL - RESSECÇÃO ENDOSCÓPICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO DA HIPERATIVIDADE VESICAL: INJEÇÃO INTRAVESICAL DE TOXINA BOTULÍNICA (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,73.0,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
VESICOSTOMIA CUTÂNEA - CONFECÇÃO OU FECHAMENTO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA ENDOSCÓPICA DE URETRA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO OU CÁLCULO - EXTRAÇÃO CIRÚRGICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO OU CÁLCULO - EXTRAÇÃO ENDOSCÓPICA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DIVERTÍCULO URETRAL - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ELETROCOAGULAÇÃO ENDOSCÓPICA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESFINCTEROTOMIA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA URETRAL - CORREÇÃO CIRÚRGICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO SLING OU ESFÍNCTER ARTIFICIAL (COM DIRETRIZ DE UTILIZAÇÃO),nan,nan,nan,nan,HCO,HSO,REF,nan,48.0,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO (EXCETO ESFÍNCTER ARTIFICIAL),nan,nan,nan,nan,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INJEÇÕES PERIURETRAIS (INCLUINDO URETROCISTOCOPIA),nan,nan,nan,nan,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MEATOPLASTIA (RETALHO CUTÂNEO),nan,nan,nan,nan,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MEATOTOMIA URETRAL,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEOURETRA PROXIMAL (CISTOURETROPLASTIA),nan,nan,nan,nan,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE CARÚNCULA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE VÁLVULA URETRAL POSTERIOR,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR URETRAL - EXCISÃO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETRECTOMIA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETROPLASTIA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETROTOMIA INTERNA COM OU SEM PRÓTESE ENDOURETRAL,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ABSCESSO DE PRÓSTATA - DRENAGEM,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ADENOMA - RESSECÇÃO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA PROSTÁTICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FOTOVAPORIZAÇÃO DE PRÓSTATA A LASER POR VIA ENDOSCÓPICA,582/2023,01/08/2023,nan,nan,HCO,HSO,REF,nan,nan,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HEMORRAGIA DA LOJA PROSTÁTICA - EVACUAÇÃO E IRRIGAÇÃO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HEMORRAGIA DA LOJA PROSTÁTICA - REVISÃO E/OU HEMOSTASIA ENDOSCÓPICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HIPERTROFIA PROSTÁTICA - IMPLANTE DE PRÓTESE,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HIPERTROFIA PROSTÁTICA - TRATAMENTO POR DILATAÇÃO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROSTATAVESICULECTOMIA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROSTATAVESICULECTOMIA RADICAL LAPAROSCÓPICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROSTATECTOMIA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO ENDOSCÓPICA DA PRÓSTATA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PRÓSTATA E VESÍCULAS SEMINAIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA ESCROTAL,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,ESCROTO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DRENAGEM DE ABSCESSO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,ESCROTO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ELEFANTÍASE PENO-ESCROTAL - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,ESCROTO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE CISTO ESCROTAL,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,ESCROTO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO DA BOLSA ESCROTAL COM RETALHO INGUINAL PEDICULADO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,ESCROTO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AUTOTRANSPLANTE DE UM TESTÍCULO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE TESTÍCULO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESCROTO AGUDO - EXPLORAÇÃO CIRÚRGICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HIDROCELE - CORREÇÃO CIRÚRGICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE DE PRÓTESE TESTICULAR,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ORQUIDOPEXIA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ORQUIDOPEXIA LAPAROSCÓPICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ORQUIECTOMIA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO DA VAGINAL,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REPARAÇÃO PLÁSTICA (TRAUMA),nan,nan,nan,nan,HCO,HSO,REF,nan,nan,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TORÇÃO DE TESTÍCULO - CURA CIRÚRGICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR DE TESTÍCULO - RESSECÇÃO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
VARICOCELE - CORREÇÃO CIRÚRGICA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,TESTÍCULO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE EPIDÍDIMO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EPIDÍDIMO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DRENAGEM DE ABSCESSO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EPIDÍDIMO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIDIDIMECTOMIA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,EPIDÍDIMO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIDIDIMOVASOPLASTIA (INCLUINDO MICROCIRURGIA),nan,nan,nan,nan,HCO,HSO,REF,nan,nan,EPIDÍDIMO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE CISTO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,EPIDÍDIMO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXPLORAÇÃO CIRÚRGICA DO DEFERENTE,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CORDÃO ESPERMÁTICO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CIRURGIA DE ESTERILIZAÇÃO MASCULINA (VASECTOMIA) - COM DIRETRIZ DE UTILIZAÇÃO,nan,nan,nan,nan,HCO,HSO,REF,nan,12.0,CORDÃO ESPERMÁTICO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
VASOVASOANASTOMOSE (EXCETO PARA REVERSÃO DE VASECTOMIA),nan,nan,nan,nan,HCO,HSO,REF,nan,nan,CORDÃO ESPERMÁTICO,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPUTAÇÃO PARCIAL OU TOTAL,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA PENIANA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DOENÇA DE PEYRONIE - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ELETROCOAGULAÇÃO DE LESÕES CUTÂNEAS,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EMASCULAÇÃO PARA TRATAMENTO ONCOLÓGICO OU FASCEÍTE NECROTIZANTE,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPISPADIA - RECONSTRUÇÃO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPISPADIA COM INCONTINÊNCIA - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FRATURA DE PÊNIS - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HIPOSPADIA - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE DE PRÓTESE SEMI-RÍGIDA (EXCLUI PRÓTESES INFLÁVEIS),nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEOFALOPLASTIA COM OU SEM RECONSTRUÇÃO URETRAL,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PARAFIMOSE - REDUÇÃO MANUAL OU CIRÚRGICA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PÊNIS CURVO CONGÊNITO - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PLÁSTICA - RETALHO CUTÂNEO À DISTÂNCIA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PLÁSTICA DE CORPO CAVERNOSO,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
POSTECTOMIA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PRIAPISMO - TRATAMENTO CIRÚRGICO,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO DE PÊNIS COM ENXERTO - PLÁSTICA TOTAL,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE DO PÊNIS,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REVASCULARIZAÇÃO PENIANA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,PÊNIS,SISTEMA GENITAL E REPRODUTOR MASCULINO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ABSCESSO PERINEAL - DRENAGEM CIRÚRGICA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,VULVA,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BARTOLINECTOMIA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,VULVA,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE VULVA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,VULVA,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"CAUTERIZAÇÃO QUÍMICA, OU ELETROCAUTERIZAÇÃO, OU CRIOCAUTERIZAÇÃO DE LESÕES DA VULVA",nan,nan,nan,nan,HCO,HSO,REF,nan,nan,VULVA,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CLITORIDECTOMIA,nan,nan,nan,Seg. Ambulatorial,HCO,HSO,REF,nan,nan,VULVA,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CLITOROPLASTIA,nan,nan,nan,nan,HCO,HSO,REF,nan,nan,VULVA,SISTEMA GENITAL E REPRODUTOR FEMININO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
